weight,age,height,size,BMI,Body_Shape
95,43,172.72,XXXL,31.84478687,Curvy
72,50,170.18,XXXL,24.86082049,Regular
58,24,170.18,M,20.02677207,Regular
74,31,170.18,XL,25.55139884,Curvy
54,36,170.18,S,18.64561537,Slim
77,30,167.64,XL,27.3990447,Curvy
63,53,167.64,M,22.41740021,Regular
99,44,172.72,XXXL,33.18562,Curvy
62,30,177.8,M,19.61228412,Regular
81,33,185.42,XXXL,23.55981443,Regular
56,32,162.56,L,21.19144863,Regular
55,26,170.18,S,18.99090454,Regular
61,30,170.18,XL,21.06263959,Regular
65,27,167.64,XL,23.12906371,Regular
61,31,170.18,M,21.06263959,Regular
65,33,167.64,L,23.12906371,Regular
58,29,162.56,L,21.94828608,Regular
72,44,175.26,XXXL,23.44050057,Regular
63,27,162.56,XL,23.84037971,Regular
65,47,170.18,L,22.44379628,Regular
63,31,175.26,M,20.510438,Regular
80,41,170.18,XXXL,27.62313388,Curvy
63,23,162.56,L,23.84037971,Regular
58,23,180.34,XL,17.83379881,Slim
71,23,170.18,XL,24.51553132,Regular
53,29,160.02,M,20.69795019,Regular
81,59,162.56,XXXL,30.65191677,Curvy
83,30,162.56,XXXL,31.40875422,Curvy
63,34,172.72,M,21.11812182,Regular
54,29,157.48,S,21.7742371,Regular
95,30,160.02,XXXL,37.1000994,Curvy
56,28,165.1,M,20.54441979,Regular
61,33,165.1,S,22.37874298,Regular
74,31,157.48,XXXL,29.83876935,Curvy
70,26,154.94,L,29.15888659,Curvy
72,52,170.18,XXXL,24.86082049,Regular
62,29,162.56,L,23.46196099,Regular
59,39,160.02,L,23.04111436,Regular
52,27,157.48,XXS,20.96778387,Regular
90,59,162.56,XXXL,34.0576853,Curvy
72,20,167.64,XXXL,25.61988595,Curvy
63,30,165.1,XL,23.11247226,Regular
63,37,172.72,M,21.11812182,Regular
47,28,154.94,XXS,19.57810957,Regular
58,29,157.48,M,23.38714355,Regular
65,33,167.64,L,23.12906371,Regular
62,30,157.48,M,25.00005,Curvy
62,24,175.26,M,20.18487549,Regular
63,33,157.48,XL,25.40327661,Curvy
68,42,167.64,XL,24.19655895,Regular
59,31,162.56,M,22.32670481,Regular
56,30,172.72,S,18.77166384,Regular
58,33,160.02,M,22.650587,Regular
58,31,157.48,M,23.38714355,Regular
65,29,172.72,L,21.78853839,Regular
65,29,180.34,XL,19.98615384,Regular
68,29,162.56,XL,25.73247334,Curvy
65,32,172.72,L,21.78853839,Regular
77,43,172.72,XXXL,25.81103778,Curvy
53,28,157.48,XXS,21.37101048,Regular
58,36,175.26,M,18.88262546,Slim
54,37,152.4,M,23.2500465,Regular
53,42,167.64,S,18.85908271,Slim
54,41,162.56,S,20.43461118,Regular
66,41,170.18,L,22.78908545,Regular
52,42,165.1,S,19.07696123,Slim
53,32,170.18,S,18.3003262,Slim
58,53,160.02,L,22.650587,Regular
56,33,162.56,M,21.19144863,Regular
56,33,170.18,L,19.33619372,Slim
56,52,162.56,M,21.19144863,Regular
63,31,172.72,XL,21.11812182,Regular
65,52,152.4,XXXL,27.98616708,Curvy
58,38,167.64,L,20.63824146,Regular
63,39,175.26,XL,20.510438,Regular
54,23,162.56,M,20.43461118,Regular
58,29,167.64,M,20.63824146,Regular
70,34,170.18,XL,24.17024215,Regular
58,30,167.64,M,20.63824146,Regular
46,28,152.4,XXS,19.80559517,Regular
58,28,157.48,S,23.38714355,Regular
79,51,162.56,XXXL,29.89507932,Curvy
54,29,165.1,S,19.81069051,Regular
61,32,162.56,M,23.08354226,Regular
54,33,154.94,S,22.49399823,Regular
58,26,170.18,M,20.02677207,Regular
72,30,177.8,L,22.77555576,Regular
58,46,167.64,L,20.63824146,Regular
56,26,165.1,S,20.54441979,Regular
62,52,162.56,M,23.46196099,Regular
61,38,154.94,XXXL,25.40988689,Curvy
63,32,172.72,M,21.11812182,Regular
61,31,162.56,M,23.08354226,Regular
64,41,162.56,L,24.21879844,Regular
50,30,154.94,XXS,20.82777614,Regular
54,34,162.56,M,20.43461118,Regular
56,23,175.26,S,18.23150044,Slim
61,31,175.26,S,19.85931298,Slim
52,39,167.64,XXS,18.50325096,Slim
65,30,175.26,M,21.16156301,Regular
65,38,160.02,L,25.38427853,Curvy
50,52,160.02,L,19.5263681,Slim
53,28,152.4,S,22.81949008,Regular
68,46,162.56,XL,25.73247334,Curvy
52,31,157.48,S,20.96778387,Regular
95,24,175.26,XXXL,30.92843825,Curvy
65,34,177.8,XL,20.56126561,Regular
58,32,160.02,S,22.650587,Regular
61,30,160.02,M,23.82216909,Regular
73,35,167.64,XXXL,25.9757177,Curvy
59,36,162.56,M,22.32670481,Regular
74,46,167.64,XXXL,26.33154945,Curvy
90,31,165.1,XXXL,33.01781751,Curvy
70,45,157.48,XXXL,28.2258629,Curvy
65,53,162.56,XL,24.59721716,Regular
53,32,165.1,S,19.44382587,Slim
58,33,160.02,L,22.650587,Regular
49,34,160.02,XXS,19.13584074,Slim
50,28,165.1,S,18.34323195,Slim
53,43,167.64,M,18.85908271,Slim
54,27,165.1,M,19.81069051,Regular
77,36,167.64,XXXL,27.3990447,Curvy
54,27,157.48,M,21.7742371,Regular
65,50,172.72,XXXL,21.78853839,Regular
65,26,172.72,L,21.78853839,Regular
68,37,170.18,XL,23.4796638,Regular
78,29,167.64,XXXL,27.75487645,Curvy
58,24,180.34,XXS,17.83379881,Slim
58,31,157.48,L,23.38714355,Regular
68,30,170.18,XXXL,23.4796638,Regular
70,46,165.1,XXXL,25.68052473,Curvy
65,26,175.26,L,21.16156301,Regular
48,40,152.4,XXS,20.666708,Regular
54,27,157.48,S,21.7742371,Regular
55,27,170.18,M,18.99090454,Regular
55,41,157.48,L,22.17746371,Regular
61,47,160.02,XL,23.82216909,Regular
61,30,172.72,M,20.44770526,Regular
65,31,175.26,M,21.16156301,Regular
60,28,170.18,M,20.71735041,Regular
58,35,167.64,XL,20.63824146,Regular
68,30,162.56,M,25.73247334,Curvy
112,38,175.26,XXXL,36.46300088,Curvy
61,45,162.56,XL,23.08354226,Regular
54,34,165.1,S,19.81069051,Slim
58,45,172.72,M,19.44208041,Slim
68,30,167.64,XL,24.19655895,Regular
58,31,162.56,M,21.94828608,Regular
58,30,170.18,S,20.02677207,Regular
79,27,177.8,L,24.9898459,Curvy
56,38,170.18,S,19.33619372,Slim
49,39,157.48,S,19.75810403,Slim
69,40,175.26,XXXL,22.46381304,Regular
61,43,167.64,M,21.70573671,Regular
69,31,172.72,XL,23.12937152,Regular
72,36,175.26,XL,23.44050057,Regular
61,37,160.02,L,23.82216909,Regular
54,23,167.64,XXS,19.21491446,Regular
60,35,170.18,XL,20.71735041,Regular
50,48,162.56,XXS,18.92093628,Slim
66,49,162.56,L,24.97563589,Regular
58,50,162.56,L,21.94828608,Regular
61,33,162.56,L,23.08354226,Regular
52,29,167.64,XXS,18.50325096,Regular
64,34,175.26,L,20.8360005,Regular
54,51,167.64,S,19.21491446,Slim
52,22,154.94,S,21.66088718,Regular
68,49,180.34,XL,20.90859171,Regular
56,32,167.64,S,19.92657796,Slim
70,34,160.02,XL,27.33691534,Curvy
55,38,162.56,S,20.81302991,Regular
70,24,162.56,XXXL,26.48931079,Curvy
77,28,160.02,XXXL,30.07060688,Curvy
56,39,167.64,M,19.92657796,Slim
72,40,175.26,XL,23.44050057,Regular
83,50,165.1,XXXL,30.44976504,Curvy
68,29,160.02,XL,26.55586062,Curvy
56,42,165.1,M,20.54441979,Regular
59,37,154.94,XL,24.57677584,Regular
77,31,175.26,XXXL,25.06831311,Curvy
79,30,177.8,XXXL,24.9898459,Curvy
77,34,162.56,L,29.13824187,Curvy
54,34,165.1,S,19.81069051,Slim
61,33,177.8,M,19.29595696,Slim
63,33,165.1,XL,23.11247226,Regular
61,32,157.48,M,24.59682339,Regular
46,31,152.4,XXS,19.80559517,Slim
81,30,170.18,XXXL,27.96842306,Curvy
58,35,162.56,M,21.94828608,Regular
52,30,165.1,S,19.07696123,Regular
61,26,170.18,M,21.06263959,Regular
53,37,170.18,XL,18.3003262,Slim
61,51,167.64,L,21.70573671,Regular
54,32,165.1,S,19.81069051,Slim
58,33,167.64,S,20.63824146,Regular
65,28,165.1,L,23.84620154,Regular
81,39,180.34,XXXL,24.90582248,Regular
54,30,165.1,XXS,19.81069051,Regular
74,36,170.18,XXXL,25.55139884,Curvy
56,32,165.1,L,20.54441979,Regular
52,28,167.64,XXS,18.50325096,Regular
56,34,180.34,M,17.21884023,Slim
81,33,162.56,XXXL,30.65191677,Curvy
63,29,170.18,M,21.75321793,Regular
54,32,160.02,L,21.08847755,Regular
61,34,162.56,L,23.08354226,Regular
61,34,165.1,L,22.37874298,Regular
65,37,160.02,L,25.38427853,Curvy
50,32,162.56,XXS,18.92093628,Slim
58,35,170.18,S,20.02677207,Regular
58,34,175.26,S,18.88262546,Slim
52,47,160.02,M,20.30742283,Regular
58,53,160.02,M,22.650587,Regular
90,40,170.18,XXXL,31.07602562,Curvy
70,23,180.34,M,21.52355029,Regular
65,29,162.56,XL,24.59721716,Regular
55,26,162.56,S,20.81302991,Regular
58,25,167.64,XL,20.63824146,Regular
70,36,175.26,S,22.78937555,Regular
52,40,172.72,XXS,17.43083071,Slim
58,27,162.56,M,21.94828608,Regular
68,41,162.56,XXXL,25.73247334,Curvy
57,28,165.1,S,20.91128443,Regular
65,36,165.1,XXXL,23.84620154,Regular
54,25,152.4,M,23.2500465,Regular
58,38,172.72,M,19.44208041,Slim
63,29,162.56,L,23.84037971,Regular
77,34,167.64,XXXL,27.3990447,Curvy
65,29,170.18,XL,22.44379628,Regular
62,41,172.72,L,20.78291354,Regular
58,43,162.56,M,21.94828608,Regular
77,31,172.72,XXXL,25.81103778,Curvy
65,40,177.8,XL,20.56126561,Regular
68,28,175.26,M,22.13825054,Regular
64,32,175.26,XL,20.8360005,Regular
52,34,167.64,S,18.50325096,Slim
58,40,170.18,M,20.02677207,Regular
61,32,172.72,M,20.44770526,Regular
63,38,172.72,M,21.11812182,Regular
68,28,167.64,XL,24.19655895,Regular
56,34,160.02,M,21.86953228,Regular
52,24,180.34,XXS,15.98892307,Slim
61,32,175.26,S,19.85931298,Slim
72,20,165.1,M,26.41425401,Curvy
53,38,160.02,S,20.69795019,Regular
72,32,162.56,XL,27.24614824,Curvy
63,30,172.72,M,21.11812182,Regular
56,45,165.1,L,20.54441979,Regular
65,25,152.4,XL,27.98616708,Curvy
54,43,160.02,S,21.08847755,Regular
52,28,160.02,XXS,20.30742283,Regular
81,36,162.56,XXXL,30.65191677,Curvy
84,31,165.1,XXXL,30.81662968,Curvy
61,46,177.8,M,19.29595696,Slim
45,30,162.56,XXS,17.02884265,Slim
61,45,162.56,XL,23.08354226,Regular
54,36,157.48,M,21.7742371,Regular
57,44,157.48,M,22.98391694,Regular
56,48,165.1,M,20.54441979,Regular
58,43,170.18,S,20.02677207,Regular
52,28,162.56,S,19.67777373,Regular
56,30,165.1,S,20.54441979,Regular
52,29,154.94,S,21.66088718,Regular
52,35,160.02,S,20.30742283,Regular
58,32,175.26,M,18.88262546,Slim
58,29,152.4,M,24.97227217,Curvy
79,30,162.56,XXXL,29.89507932,Curvy
70,44,170.18,XXXL,24.17024215,Regular
56,41,162.56,S,21.19144863,Regular
55,34,154.94,M,22.91055375,Regular
63,27,170.18,M,21.75321793,Regular
58,27,157.48,M,23.38714355,Regular
55,29,162.56,S,20.81302991,Regular
72,35,165.1,XXXL,26.41425401,Curvy
70,31,167.64,XL,24.90822245,Regular
52,40,157.48,S,20.96778387,Regular
58,32,160.02,L,22.650587,Regular
58,29,160.02,M,22.650587,Regular
54,31,162.56,XXS,20.43461118,Regular
55,26,162.56,S,20.81302991,Regular
68,31,167.64,XL,24.19655895,Regular
53,21,157.48,L,21.37101048,Regular
53,30,160.02,S,20.69795019,Regular
58,53,170.18,L,20.02677207,Slim
61,26,160.02,M,23.82216909,Regular
63,34,170.18,L,21.75321793,Regular
72,45,170.18,XXXL,24.86082049,Regular
62,54,167.64,L,22.06156846,Regular
65,37,172.72,XXXL,21.78853839,Regular
54,35,157.48,M,21.7742371,Regular
54,28,157.48,XXS,21.7742371,Regular
61,29,165.1,M,22.37874298,Regular
61,27,162.56,L,23.08354226,Regular
70,36,172.72,L,23.4645798,Regular
65,25,142.24,L,32.12697752,Curvy
81,25,172.72,XXXL,27.15187091,Curvy
65,39,167.64,L,23.12906371,Regular
65,24,167.64,L,23.12906371,Regular
53,49,162.56,XXS,20.05619246,Regular
46,59,157.48,XXS,18.54842419,Slim
54,32,170.18,XXS,18.64561537,Slim
56,43,172.72,M,18.77166384,Slim
68,30,152.4,XXXL,29.27783633,Curvy
68,30,165.1,M,24.94679546,Curvy
61,34,162.56,L,23.08354226,Regular
61,23,172.72,XL,20.44770526,Regular
61,39,170.18,L,21.06263959,Regular
61,25,165.1,S,22.37874298,Regular
72,33,172.72,XXXL,24.13499637,Regular
54,39,157.48,M,21.7742371,Regular
68,33,182.88,M,20.33183079,Regular
54,27,165.1,S,19.81069051,Regular
63,35,167.64,L,22.41740021,Regular
68,29,160.02,XL,26.55586062,Curvy
58,47,154.94,M,24.16022032,Regular
58,34,165.1,M,21.27814907,Regular
61,35,170.18,S,21.06263959,Regular
70,42,160.02,XL,27.33691534,Curvy
58,25,175.26,S,18.88262546,Regular
77,39,175.26,XXXL,25.06831311,Curvy
73,38,177.8,XXXL,23.09188292,Regular
65,33,167.64,XL,23.12906371,Regular
58,34,162.56,S,21.94828608,Regular
58,28,152.4,L,24.97227217,Curvy
65,24,170.18,L,22.44379628,Regular
65,50,162.56,XL,24.59721716,Regular
97,43,162.56,XXXL,36.70661638,Curvy
55,28,157.48,S,22.17746371,Regular
54,48,162.56,M,20.43461118,Regular
65,29,172.72,L,21.78853839,Regular
56,62,162.56,M,21.19144863,Regular
50,29,152.4,S,21.52782083,Regular
63,49,170.18,L,21.75321793,Regular
63,35,177.8,M,19.92861129,Slim
68,40,175.26,XXXL,22.13825054,Regular
53,58,172.72,M,17.76603899,Slim
53,32,154.94,M,22.0774427,Regular
68,29,172.72,L,22.79416324,Regular
65,40,170.18,L,22.44379628,Regular
56,36,167.64,M,19.92657796,Slim
53,33,154.94,S,22.0774427,Regular
58,28,157.48,M,23.38714355,Regular
65,38,180.34,L,19.98615384,Slim
55,35,167.64,S,19.57074621,Slim
52,35,167.64,XXS,18.50325096,Slim
74,42,167.64,XXXL,26.33154945,Curvy
54,31,165.1,S,19.81069051,Slim
62,38,172.72,XL,20.78291354,Regular
52,30,167.64,XXS,18.50325096,Regular
79,51,167.64,XXXL,28.1107082,Curvy
75,38,182.88,XXXL,22.42481337,Regular
65,34,170.18,M,22.44379628,Regular
65,36,157.48,XXXL,26.20972984,Curvy
58,39,167.64,XL,20.63824146,Regular
68,34,167.64,XL,24.19655895,Regular
70,28,177.8,L,22.14290143,Regular
70,37,167.64,XXXL,24.90822245,Regular
45,25,157.48,XXS,18.14519758,Slim
65,25,167.64,XL,23.12906371,Regular
86,53,160.02,XXXL,33.58535314,Curvy
50,43,152.4,M,21.52782083,Regular
58,49,157.48,L,23.38714355,Regular
53,29,167.64,S,18.85908271,Regular
43,44,157.48,S,17.33874435,Slim
58,32,162.56,M,21.94828608,Regular
54,27,172.72,S,18.10124728,Slim
72,30,157.48,XXXL,29.03231613,Curvy
52,28,154.94,M,21.66088718,Regular
61,29,162.56,M,23.08354226,Regular
68,34,170.18,XXXL,23.4796638,Regular
58,42,170.18,L,20.02677207,Regular
48,30,160.02,XXS,18.74531338,Regular
56,31,152.4,L,24.11115933,Regular
54,27,165.1,M,19.81069051,Regular
61,25,162.56,M,23.08354226,Regular
70,33,160.02,XXXL,27.33691534,Curvy
62,33,167.64,L,22.06156846,Regular
56,32,165.1,S,20.54441979,Regular
56,34,162.56,S,21.19144863,Regular
47,28,160.02,XXS,18.35478602,Slim
68,37,167.64,XL,24.19655895,Regular
58,37,162.56,S,21.94828608,Regular
61,41,160.02,L,23.82216909,Regular
56,29,167.64,XXS,19.92657796,Regular
56,33,165.1,M,20.54441979,Regular
81,38,187.96,XXXL,22.92736507,Regular
56,25,165.1,XL,20.54441979,Regular
61,29,165.1,M,22.37874298,Regular
65,37,172.72,L,21.78853839,Regular
72,29,172.72,XXXL,24.13499637,Regular
63,34,175.26,L,20.510438,Regular
68,38,160.02,XXXL,26.55586062,Curvy
46,31,157.48,XXS,18.54842419,Slim
58,40,162.56,M,21.94828608,Regular
64,27,165.1,M,23.4793369,Regular
65,19,167.64,L,23.12906371,Regular
49,31,162.56,S,18.54251755,Slim
55,43,170.18,S,18.99090454,Slim
70,31,167.64,XL,24.90822245,Regular
72,27,167.64,XL,25.61988595,Curvy
56,30,160.02,M,21.86953228,Regular
58,26,162.56,M,21.94828608,Regular
62,31,167.64,XL,22.06156846,Regular
68,30,167.64,XL,24.19655895,Regular
63,28,172.72,XL,21.11812182,Regular
58,27,160.02,L,22.650587,Regular
63,38,160.02,XL,24.60322381,Regular
56,26,162.56,M,21.19144863,Regular
58,30,165.1,S,21.27814907,Regular
63,24,170.18,M,21.75321793,Regular
52,50,162.56,S,19.67777373,Slim
65,31,167.64,XL,23.12906371,Regular
70,32,172.72,XXXL,23.4645798,Regular
58,31,172.72,M,19.44208041,Slim
67,29,172.72,XL,22.45895495,Regular
58,36,162.56,M,21.94828608,Regular
52,24,160.02,S,20.30742283,Regular
54,24,152.4,L,23.2500465,Regular
52,28,162.56,S,19.67777373,Regular
58,35,170.18,S,20.02677207,Regular
70,37,170.18,XXXL,24.17024215,Regular
49,25,165.1,XXS,17.97636731,Slim
62,30,167.64,M,22.06156846,Regular
74,31,162.56,XL,28.00298569,Curvy
56,52,157.48,S,22.58069032,Regular
69,37,167.64,L,24.5523907,Regular
74,37,170.18,XXXL,25.55139884,Curvy
58,35,160.02,XXXL,22.650587,Regular
55,24,175.26,S,17.90593793,Slim
62,42,162.56,S,23.46196099,Regular
65,30,167.64,M,23.12906371,Regular
65,30,165.1,XXXL,23.84620154,Regular
57,20,170.18,M,19.68148289,Regular
56,48,165.1,S,20.54441979,Regular
58,31,170.18,M,20.02677207,Regular
61,32,170.18,M,21.06263959,Regular
61,36,175.26,L,19.85931298,Slim
52,42,162.56,S,19.67777373,Slim
58,33,165.1,M,21.27814907,Regular
74,36,175.26,XXXL,24.09162558,Regular
56,25,167.64,S,19.92657796,Regular
63,51,162.56,L,23.84037971,Regular
52,26,157.48,M,20.96778387,Regular
63,27,165.1,XL,23.11247226,Regular
65,29,167.64,L,23.12906371,Regular
61,34,165.1,M,22.37874298,Regular
52,55,157.48,M,20.96778387,Slim
78,37,175.26,XL,25.39387561,Curvy
52,27,162.56,S,19.67777373,Regular
68,33,160.02,XL,26.55586062,Curvy
56,47,160.02,M,21.86953228,Regular
65,29,172.72,L,21.78853839,Regular
64,17,162.56,XL,24.21879844,Regular
77,48,167.64,XXXL,27.3990447,Curvy
56,32,162.56,S,21.19144863,Regular
50,31,162.56,XXS,18.92093628,Slim
63,39,157.48,L,25.40327661,Curvy
65,28,172.72,XL,21.78853839,Regular
56,43,170.18,XXS,19.33619372,Slim
49,44,154.94,S,20.41122061,Regular
63,35,170.18,XL,21.75321793,Regular
57,35,162.56,M,21.56986736,Regular
56,20,167.64,M,19.92657796,Regular
56,26,167.64,M,19.92657796,Regular
54,28,167.64,M,19.21491446,Regular
64,27,165.1,M,23.4793369,Regular
90,39,167.64,XXXL,32.02485744,Curvy
68,37,165.1,XL,24.94679546,Regular
56,38,167.64,S,19.92657796,Slim
54,46,162.56,L,20.43461118,Regular
56,28,160.02,S,21.86953228,Regular
63,27,172.72,L,21.11812182,Regular
61,45,172.72,M,20.44770526,Regular
47,26,157.48,XXS,18.95165081,Regular
49,26,162.56,S,18.54251755,Regular
61,29,165.1,XXXL,22.37874298,Regular
58,29,165.1,L,21.27814907,Regular
48,34,165.1,XXS,17.60950267,Slim
56,29,170.18,S,19.33619372,Regular
104,34,162.56,XXXL,39.35554746,Curvy
58,32,165.1,M,21.27814907,Regular
54,28,170.18,M,18.64561537,Regular
54,47,165.1,M,19.81069051,Slim
62,33,170.18,M,21.40792876,Regular
65,28,165.1,XXXL,23.84620154,Regular
54,49,154.94,M,22.49399823,Regular
55,33,162.56,M,20.81302991,Regular
63,25,162.56,XL,23.84037971,Regular
58,28,167.64,M,20.63824146,Regular
48,26,154.94,S,19.99466509,Regular
52,29,157.48,S,20.96778387,Regular
61,34,170.18,XXXL,21.06263959,Regular
54,27,165.1,S,19.81069051,Regular
54,35,157.48,S,21.7742371,Regular
63,37,165.1,L,23.11247226,Regular
56,45,160.02,M,21.86953228,Regular
61,32,154.94,M,25.40988689,Curvy
68,38,172.72,XL,22.79416324,Regular
63,50,177.8,L,19.92861129,Slim
71,23,162.56,XXXL,26.86772952,Curvy
72,43,170.18,XXXL,24.86082049,Regular
63,39,175.26,XL,20.510438,Regular
79,31,165.1,XXXL,28.98230649,Curvy
58,41,162.56,XL,21.94828608,Regular
55,29,172.72,L,18.43645556,Slim
86,29,175.26,XXXL,27.99837568,Curvy
72,36,172.72,XXXL,24.13499637,Regular
54,34,167.64,S,19.21491446,Slim
55,28,167.64,S,19.57074621,Regular
52,31,162.56,S,19.67777373,Slim
65,38,165.1,XL,23.84620154,Regular
72,39,160.02,XXXL,28.11797007,Curvy
70,33,170.18,L,24.17024215,Regular
58,32,160.02,M,22.650587,Regular
65,32,167.64,XXXL,23.12906371,Regular
49,41,154.94,XXS,20.41122061,Regular
49,40,154.94,XXXL,20.41122061,Regular
65,29,162.56,L,24.59721716,Regular
48,34,160.02,S,18.74531338,Slim
88,28,172.72,XXXL,29.49832889,Curvy
54,22,162.56,S,20.43461118,Regular
60,26,157.48,M,24.19359677,Regular
53,40,162.56,M,20.05619246,Regular
53,30,167.64,S,18.85908271,Regular
53,30,170.18,S,18.3003262,Slim
56,50,160.02,XL,21.86953228,Regular
61,26,162.56,M,23.08354226,Regular
83,29,154.94,XXXL,34.57410838,Curvy
52,40,157.48,S,20.96778387,Regular
70,39,160.02,XXXL,27.33691534,Curvy
49,37,167.64,S,17.43575572,Slim
54,44,165.1,M,19.81069051,Slim
61,25,165.1,L,22.37874298,Regular
56,40,160.02,L,21.86953228,Regular
63,34,160.02,M,24.60322381,Regular
95,28,167.64,XXXL,33.80401618,Curvy
65,29,160.02,M,25.38427853,Curvy
56,35,167.64,S,19.92657796,Slim
58,30,172.72,S,19.44208041,Regular
53,38,157.48,S,21.37101048,Regular
61,20,165.1,M,22.37874298,Regular
47,36,160.02,S,18.35478602,Slim
61,41,167.64,M,21.70573671,Regular
63,38,165.1,XL,23.11247226,Regular
70,37,172.72,L,23.4645798,Regular
69,25,160.02,XXXL,26.94638798,Curvy
55,23,172.72,S,18.43645556,Slim
52,33,165.1,XXS,19.07696123,Slim
65,35,160.02,XL,25.38427853,Curvy
72,36,165.1,XXXL,26.41425401,Curvy
63,55,167.64,XXXL,22.41740021,Regular
68,36,172.72,XXXL,22.79416324,Regular
54,33,175.26,XL,17.58037543,Slim
68,26,162.56,L,25.73247334,Curvy
56,32,157.48,XL,22.58069032,Regular
61,31,157.48,L,24.59682339,Regular
51,25,162.56,XXS,19.299355,Regular
51,35,160.02,XXS,19.91689546,Slim
61,26,157.48,L,24.59682339,Regular
56,50,157.48,M,22.58069032,Regular
72,46,157.48,XXXL,29.03231613,Curvy
70,28,162.56,L,26.48931079,Curvy
63,37,160.02,XL,24.60322381,Regular
53,35,160.02,S,20.69795019,Regular
92,23,182.88,XXXL,27.50777106,Curvy
74,33,162.56,XXXL,28.00298569,Curvy
78,38,172.72,XXXL,26.14624606,Curvy
63,31,172.72,L,21.11812182,Regular
54,23,154.94,M,22.49399823,Regular
53,39,162.56,S,20.05619246,Regular
54,35,157.48,M,21.7742371,Regular
49,43,172.72,S,16.42520586,Slim
55,29,157.48,M,22.17746371,Regular
58,49,167.64,M,20.63824146,Regular
72,29,170.18,XXXL,24.86082049,Regular
